blocker_type,feature_introduced,move_limit,objective_type,objective_amount,avg_daily_wins_before_first_attempt,avg_daily_attempts_before_first_attempt,avg_active_day_on_first_attempt,near_loss_wins_2_or_less_moves,near_win_losses_5_percent_or_less_objective,level_number,labeled_difficulty,median_attempts_per_winner,players,mid_match_quits,attempts,wins,first_attempt_win_streak_tier_0,first_attempt_win_streak_tier_1,first_attempt_win_streak_tier_2,first_attempt_win_streak_tier_3,median_moves_remaining_win,median_objective_pct_remaining_loss,median_base_coins_rewarded_win,median_move_coins_rewarded,first_attempt_winstreak_tier_1_wins,first_attempt_winstreak_tier_2_wins,first_attempt_winstreak_tier_3_wins,extra_moves_offered,extra_moves_purchased,extra_moves_wins,gold_extra_move_purchased,median_pgb_inventory_amount_first_attempt,median_igb_inventory_amount_first_attempt,median_gold_inventory_amount_first_attempt,median_customer_gold_inventory_amount_first_attempt,median_90th_percentile_customer_gold_inventory_amount_first_attempt,median_95th_percentile_customer_gold_inventory_amount_first_attempt,median_99th_percentile_customer_gold_inventory_amount_first_attempt,pgb_purchased,gold_pgb_sink,pgb_amount_used,igb_purchased,igb_gold_pbg_sink,igb_amount_used,average_moves_coins_rewarded,balance_patch_version,retained_players_to_next_level
candy honeycomb soda waffle,,28,honeycomb soda waffle,99,19.666666666666668,40.888888888888886,123.0,2,1,1474,normal,1.0,9,0,10,10,0,2,1,6,10.0,0.010101010101010102,,,2,1,5,1,0,0,,28.0,5.0,1230.0,3572.0,6172.0,6172.0,6172.0,,,6,,,,,1.0.1820,9
candy honeycomb soda waffle,,28,honeycomb soda waffle,99,49.625,107.875,190.75,1,0,1474,normal,1.0,8,0,8,8,0,1,0,7,11.0,,,,1,0,7,,0,0,,20.5,26.0,4954.0,3094.5,5283.0,5283.0,5283.0,,,2,,,,,1.0.1895,8
bubble bubble_spawner bubblegum candy chocolate,,25,bubble chocolate gum,76,34.78947368421053,72.21052631578948,175.47368421052633,11,2,1475,hard,1.0,19,2,39,37,0,1,4,14,2.0,0.23684210526315788,,,0,1,13,18,5,5,,16.0,5.0,7812.0,4040.0,7812.0,7812.0,7812.0,,,21,,,,,1.0.1746,19
bubble bubble_spawner bubblegum candy chocolate,,25,bubble chocolate gum,76,28.941176470588236,59.94117647058823,198.7058823529412,8,3,1475,hard,1.0,17,4,43,39,0,3,3,11,3.0,0.2236842105263158,,,0,0,9,22,5,5,,52.0,17.0,1946.0,3597.0,3597.0,3597.0,3597.0,,,20,,,,,1.0.1781,17
bubble bubble_spawner bubblegum candy chocolate,,25,bubble chocolate gum,76,20.77777777777778,43.111111111111114,123.0,2,1,1475,hard,1.0,9,1,35,34,0,1,2,6,7.0,0.3289473684210526,,,1,1,5,25,0,0,,28.0,5.0,1257.0,3616.5,6212.0,6212.0,6212.0,,,17,,,,,1.0.1820,9
bubble bubble_spawner bubblegum candy chocolate,,25,bubble chocolate gum,76,50.625,109.875,190.75,6,1,1475,hard,1.0,8,4,23,19,0,0,1,7,0.5,0.2763157894736842,,,0,1,5,12,1,0,,25.5,30.5,5181.0,3335.0,5722.0,5722.0,5722.0,,,7,,,,,1.0.1895,8
candy macarons red_white_candy_machine waffle,,27,macarons red_white_candy waffle,84,36.421052631578945,75.57894736842105,175.52631578947367,0,0,1476,normal,1.0,19,0,19,19,0,5,0,14,9.0,,,,5,0,14,,0,0,,14.0,5.0,7916.0,3696.5,7916.0,7916.0,7916.0,,,9,,,,,1.0.1746,19
candy macarons red_white_candy_machine waffle,,27,macarons red_white_candy waffle,84,30.41176470588235,63.05882352941177,198.76470588235293,0,0,1476,normal,1.0,17,0,17,17,0,8,0,9,12.0,,,,8,0,9,,1,1,,52.0,17.0,2049.0,3725.0,3725.0,3725.0,3725.0,,,5,,,,,1.0.1781,17
candy macarons red_white_candy_machine waffle,,27,macarons red_white_candy waffle,84,17.22222222222222,36.0,123.22222222222223,0,0,1476,normal,1.0,9,0,9,9,0,2,1,6,10.0,,,,2,1,6,,0,0,,28.0,5.0,1381.0,3738.0,6323.0,6323.0,6323.0,,,5,,,,,1.0.1820,9
candy macarons red_white_candy_machine waffle,,27,macarons red_white_candy waffle,84,48.0,104.5,191.125,0,0,1476,normal,1.0,8,0,8,8,0,2,0,6,13.5,,,,2,0,6,,0,0,,24.5,29.0,5840.5,3494.0,5927.0,5927.0,5927.0,,,2,,,,,1.0.1895,8
candy jelly jelly_pot popcorn_kernel,,24,jelly jelly_pot popped_kernel,69,29.894736842105264,62.21052631578947,175.57894736842104,9,2,1477,normal,1.0,19,2,31,29,0,0,5,14,3.0,0.14492753623188406,,,0,3,11,10,7,6,,14.0,5.0,7957.0,4436.5,7957.0,7957.0,7957.0,,,12,,,,,1.0.1746,19
candy jelly jelly_pot popcorn_kernel,,24,jelly jelly_pot popped_kernel,69,30.11764705882353,62.411764705882355,198.94117647058823,8,6,1477,normal,1.0,17,2,32,30,0,0,8,9,3.0,0.057971014492753624,,,0,3,9,13,0,0,,52.0,17.0,2227.0,3770.0,3770.0,3770.0,3770.0,,,18,,,,,1.0.1781,17
candy jelly jelly_pot popcorn_kernel,,24,jelly jelly_pot popped_kernel,69,18.22222222222222,38.0,123.22222222222223,1,1,1477,normal,1.0,9,0,14,14,0,0,2,7,4.0,0.15942028985507248,,,0,1,6,5,1,1,,28.0,5.0,1416.0,3772.5,6356.0,6356.0,6356.0,,,5,,,,,1.0.1820,9
candy jelly jelly_pot popcorn_kernel,,24,jelly jelly_pot popped_kernel,69,49.0,106.5,191.125,4,0,1477,normal,1.0,8,0,9,9,0,0,2,6,2.0,0.5217391304347826,,,0,1,6,1,1,1,,24.5,29.0,5889.5,3539.5,5978.0,5978.0,5978.0,,,4,,,,,1.0.1895,8
bubblegum candy ice_cream licorice_machine pie,,27,gum ice_cream licorice pie,73,29.2,60.85,171.95,4,1,1478,normal,1.0,20,0,22,22,0,5,0,15,8.5,0.08904109589041095,,,3,0,15,2,0,0,,17.0,6.0,9809.5,4224.5,7565.0,7565.0,7565.0,,,12,,,,,1.0.1746,20
bubblegum candy ice_cream licorice_machine pie,,27,gum ice_cream licorice pie,73,31.529411764705884,65.3529411764706,199.0,3,0,1478,normal,1.0,17,0,19,19,0,5,0,12,7.0,0.1095890410958904,,,3,0,12,2,0,0,,52.0,17.0,2242.0,3808.0,3808.0,3808.0,3808.0,,,7,,,,,1.0.1781,17
bubblegum candy ice_cream licorice_machine pie,,27,gum ice_cream licorice pie,73,19.77777777777778,41.111111111111114,123.22222222222223,2,0,1478,normal,1.0,9,0,10,10,0,2,0,7,7.0,0.0547945205479452,,,1,0,7,1,0,0,,28.0,5.0,1235.0,3802.5,6370.0,6370.0,6370.0,,,4,,,,,1.0.1820,9
bubblegum candy ice_cream licorice_machine pie,,27,gum ice_cream licorice pie,73,50.125,108.875,191.125,1,0,1478,normal,1.0,8,0,8,8,0,1,0,7,3.0,,,,1,0,7,,0,0,,24.5,31.0,7005.5,4645.0,8144.0,8144.0,8144.0,,,4,,,,,1.0.1895,8
candy cookie macarons milkshake waffle,,27,colored_cookie macarons waffle,72,30.0,62.45,172.0,14,5,1479,super_hard,3.0,20,24,147,123,0,2,3,15,2.0,0.25,,,0,1,7,109,14,8,,17.0,6.0,9848.0,4442.0,7595.0,7595.0,7595.0,,,92,,,,,1.0.1746,20
candy cookie macarons milkshake waffle,,27,colored_cookie macarons waffle,72,32.64705882352941,67.58823529411765,199.0,9,6,1479,super_hard,8.0,17,26,188,162,0,2,3,12,2.0,0.3611111111111111,,,0,0,5,148,9,7,,52.0,17.0,2278.0,3850.0,3850.0,3850.0,3850.0,,,76,,,,,1.0.1781,17
candy cookie macarons milkshake waffle,,27,colored_cookie macarons waffle,72,20.88888888888889,43.333333333333336,123.22222222222223,4,1,1479,super_hard,11.0,10,24,146,122,0,1,1,7,2.0,0.375,,,0,0,1,118,5,2,,28.0,6.0,1284.0,3838.0,6392.0,6392.0,6392.0,,,85,,,,,1.0.1820,10
candy cookie macarons milkshake waffle,,27,colored_cookie macarons waffle,72,51.125,110.875,191.125,7,1,1479,super_hard,1.0,8,13,55,42,0,0,1,7,0.0,0.24305555555555555,,,0,0,6,36,5,2,,24.5,31.0,7043.5,4676.5,8181.0,8181.0,8181.0,,,9,,,,,1.0.1895,8
candy caramel red_white_candy_machine soda,,31,caramel red_white_candy soda,168,21.1,44.05,172.7,1,0,1480,normal,1.0,20,0,20,20,0,12,0,8,11.0,,,,12,0,8,,1,1,,17.0,7.0,8965.0,3338.0,7268.0,7268.0,7268.0,,,14,,,,,1.0.1746,20
candy caramel red_white_candy_machine soda,,31,caramel red_white_candy soda,168,16.25,34.75,205.0,2,0,1480,normal,1.0,17,1,17,16,0,11,0,5,8.5,,,,11,0,5,,0,0,,39.5,17.5,3222.5,4009.0,4009.0,4009.0,4009.0,,,9,,,,,1.0.1781,17
candy caramel red_white_candy_machine soda,,31,caramel red_white_candy soda,168,19.25,40.5,100.25,1,0,1480,normal,1.0,8,0,8,8,0,7,0,1,11.0,,,,7,0,1,,0,0,,24.5,3.5,925.5,3102.5,5662.0,5662.0,5662.0,,,4,,,,,1.0.1820,8
candy caramel red_white_candy_machine soda,,31,caramel red_white_candy soda,168,25.25,54.75,191.375,1,0,1480,normal,1.0,8,0,8,8,0,2,0,6,14.0,,,,2,0,6,,0,0,,24.5,29.5,6966.5,5400.0,8374.0,8374.0,8374.0,,,6,,,,,1.0.1895,8
blueberry_melon candy cookie jelly plus3_red_white_candy,,26,blueberry cookie,19,21.68421052631579,45.31578947368421,176.47368421052633,14,0,1481,normal,1.0,19,0,19,19,0,1,10,8,-1.0,,,,1,10,8,,1,1,,8.0,7.0,7290.0,3135.0,7290.0,7290.0,7290.0,,,14,,,,,1.0.1746,19
blueberry_melon candy cookie jelly plus3_red_white_candy,,26,blueberry cookie,19,16.294117647058822,34.76470588235294,200.35294117647058,11,0,1481,normal,1.0,17,1,19,18,0,0,12,5,0.0,0.5263157894736842,,,0,11,5,1,0,0,,52.0,18.0,4038.0,4038.0,4038.0,4038.0,4038.0,,,8,,,,,1.0.1781,17
blueberry_melon candy cookie jelly plus3_red_white_candy,,26,blueberry cookie,19,20.25,42.5,100.25,7,0,1481,normal,1.0,8,0,9,9,0,0,7,1,-4.5,0.5263157894736842,,,0,6,1,1,1,1,,24.5,3.5,955.0,3145.0,5705.0,5705.0,5705.0,,,3,,,,,1.0.1820,8
blueberry_melon candy cookie jelly plus3_red_white_candy,,26,blueberry cookie,19,26.25,56.75,191.375,7,0,1481,normal,1.0,8,0,8,8,0,0,2,6,-0.5,,,,0,2,6,,0,0,,24.5,29.5,6995.0,5444.0,8417.0,8417.0,8417.0,,,6,,,,,1.0.1895,8
candy pie soda soda_can,,33,pie soda soda_can,36,22.68421052631579,47.31578947368421,176.47368421052633,11,1,1482,normal,1.0,19,4,42,38,0,0,1,18,2.0,0.38888888888888884,,,0,0,11,19,1,1,,9.0,7.0,7310.0,3192.0,7310.0,7310.0,7310.0,,,31,,,,,1.0.1746,19
candy pie soda soda_can,,33,pie soda soda_can,36,16.647058823529413,35.294117647058826,200.41176470588235,6,1,1482,normal,1.0,17,6,39,33,0,1,0,16,4.0,0.5277777777777778,,,1,0,10,16,2,2,,52.0,18.0,4052.0,4052.0,4052.0,4052.0,4052.0,,,8,,,,,1.0.1781,17
candy pie soda soda_can,,33,pie soda soda_can,36,21.375,44.75,100.25,7,1,1482,normal,1.5,8,0,18,18,0,1,0,7,0.0,0.5416666666666666,,,0,0,4,10,0,0,,24.5,3.0,905.5,3177.0,5748.0,5748.0,5748.0,,,13,,,,,1.0.1820,8
candy pie soda soda_can,,33,pie soda soda_can,36,27.25,58.75,191.375,5,0,1482,normal,1.0,8,4,21,17,0,0,0,8,1.5,0.6944444444444444,,,0,0,7,9,3,3,,24.5,29.5,7035.5,5491.0,8477.0,8477.0,8477.0,,,13,,,,,1.0.1895,8
